sic,description,as_of_date,value,is_sa,release_as_of_date
591,Drug and proprietary stores,1994-12-01,8884,0,1994-12-01
553,Auto and home supply stores,1993-12-01,2999,0,1994-12-01
571,Furniture and home furnishings,1993-12-01,5914,0,1994-12-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1993-12-01,6182,0,1994-12-01
53,General merchandise group stores,1993-12-01,39943,0,1994-12-01
541,Grocery stores,1993-12-01,33870,0,1994-12-01
56,Apparel and accessory stores,1993-12-01,14568,0,1994-12-01
58,Eating and drinking places,1993-12-01,18021,0,1994-12-01
591,Drug and proprietary stores,1993-12-01,8785,0,1994-12-01
592,Liquor stores,1993-12-01,2369,0,1994-12-01
5961,Total mail order,1993-12-01,3930,0,1994-12-01
53,General merchandise group stores,1995-01-01,24429,1,1995-01-01
541,Grocery stores,1995-01-01,32305,1,1995-01-01
56,Apparel and accessory stores,1995-01-01,9030,1,1995-01-01
58,Eating and drinking places,1995-01-01,19369,1,1995-01-01
591,Drug and proprietary stores,1995-01-01,7004,1,1995-01-01
553,Auto and home supply stores,1994-01-01,3255,1,1995-01-01
571,Furniture and home furnishings,1994-01-01,4611,1,1995-01-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1994-01-01,4104,1,1995-01-01
53,General merchandise group stores,1994-01-01,22929,1,1995-01-01
541,Grocery stores,1994-01-01,31403,1,1995-01-01
56,Apparel and accessory stores,1994-01-01,8542,1,1995-01-01
58,Eating and drinking places,1994-01-01,17328,1,1995-01-01
591,Drug and proprietary stores,1994-01-01,6887,1,1995-01-01
592,Liquor stores,1994-01-01,1714,1,1995-01-01
5961,Total mail order,1994-01-01,2593,1,1995-01-01
53,General merchandise group stores,1995-01-01,17923,0,1995-01-01
541,Grocery stores,1995-01-01,30690,0,1995-01-01
56,Apparel and accessory stores,1995-01-01,6393,0,1995-01-01
58,Eating and drinking places,1995-01-01,17626,0,1995-01-01
591,Drug and proprietary stores,1995-01-01,6717,0,1995-01-01
553,Auto and home supply stores,1994-01-01,2757,0,1995-01-01
571,Furniture and home furnishings,1994-01-01,4187,0,1995-01-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1994-01-01,3845,0,1995-01-01
53,General merchandise group stores,1994-01-01,17114,0,1995-01-01
541,Grocery stores,1994-01-01,30335,0,1995-01-01
56,Apparel and accessory stores,1994-01-01,6207,0,1995-01-01
58,Eating and drinking places,1994-01-01,15872,0,1995-01-01
591,Drug and proprietary stores,1994-01-01,6598,0,1995-01-01
592,Liquor stores,1994-01-01,1491,0,1995-01-01
5961,Total mail order,1994-01-01,2456,0,1995-01-01
53,General merchandise group stores,1995-02-01,24487,1,1995-02-01
541,Grocery stores,1995-02-01,32883,1,1995-02-01
56,Apparel and accessory stores,1995-02-01,8866,1,1995-02-01
58,Eating and drinking places,1995-02-01,19088,1,1995-02-01
591,Drug and proprietary stores,1995-02-01,7092,1,1995-02-01
553,Auto and home supply stores,1994-02-01,3311,1,1995-02-01
571,Furniture and home furnishings,1994-02-01,4899,1,1995-02-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1994-02-01,4200,1,1995-02-01
53,General merchandise group stores,1994-02-01,23232,1,1995-02-01
541,Grocery stores,1994-02-01,31532,1,1995-02-01
56,Apparel and accessory stores,1994-02-01,8950,1,1995-02-01
58,Eating and drinking places,1994-02-01,18230,1,1995-02-01
591,Drug and proprietary stores,1994-02-01,6796,1,1995-02-01
592,Liquor stores,1994-02-01,1720,1,1995-02-01
5961,Total mail-order,1994-02-01,2588,1,1995-02-01
53,General merchandise group stores,1995-02-01,18633,0,1995-02-01
541,Grocery stores,1995-02-01,29726,0,1995-02-01
56,Apparel and accessory stores,1995-02-01,6481,0,1995-02-01
58,Eating and drinking places,1995-02-01,17084,0,1995-02-01
591,Drug and proprietary stores,1995-02-01,6560,0,1995-02-01
553,Auto and home supply stores,1994-02-01,2788,0,1995-02-01
571,Furniture and home furnishings,1994-02-01,4296,0,1995-02-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1994-02-01,3620,0,1995-02-01
53,General merchandise group stores,1994-02-01,17714,0,1995-02-01
541,Grocery stores,1994-02-01,28473,0,1995-02-01
56,Apparel and accessory stores,1994-02-01,6557,0,1995-02-01
58,Eating and drinking places,1994-02-01,16334,0,1995-02-01
591,Drug and proprietary stores,1994-02-01,6293,0,1995-02-01
592,Liquor stores,1994-02-01,1445,0,1995-02-01
5961,Total mail-order,1994-02-01,2179,0,1995-02-01
53,General merchandise group stores,1995-03-01,24353,1,1995-03-01
541,Grocery stores,1995-03-01,31785,1,1995-03-01
56,Apparel and accessory stores,1995-03-01,9167,1,1995-03-01
58,Eating and drinking places,1995-03-01,19727,1,1995-03-01
591,Drug and proprietary stores,1995-03-01,6999,1,1995-03-01
553,Auto and home supply stores,1994-03-01,2802,1,1995-03-01
571,Furniture and home furnishings,1994-03-01,4862,1,1995-03-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1994-03-01,3810,1,1995-03-01
53,General merchandise group stores,1994-03-01,23143,1,1995-03-01
541,Grocery stores,1994-03-01,31259,1,1995-03-01
56,Apparel and accessory stores,1994-03-01,9069,1,1995-03-01
58,Eating and drinking places,1994-03-01,18928,1,1995-03-01
591,Drug and proprietary stores,1994-03-01,6766,1,1995-03-01
592,Liquor stores,1994-03-01,1804,1,1995-03-01
5961,Total mail-order,1994-03-01,3741,1,1995-03-01
53,General merchandise group stores,1995-03-01,22342,0,1995-03-01
